Tiempo,Sensor_Analogico,Sensor_Digital,Diferencia,Datos_Crudos_Sensor_Analogico
2025-05-18 21:16:00,30.9,12.7,18.2,622
2025-05-18 21:16:00,30.9,12.9,18.0,622
2025-05-18 21:16:00,32.2,13.1,19.1,625
2025-05-18 21:16:00,32.6,13.3,19.3,626
2025-05-18 21:16:00,30.5,13.4,17.1,621
2025-05-18 21:16:00,32.5,13.6,18.8,625
2025-05-18 21:16:00,32.5,13.8,18.7,626
2025-05-18 21:16:00,31.7,14.0,17.7,624
2025-05-18 21:16:00,30.8,14.1,16.6,622
2025-05-18 21:16:00,32.3,14.3,18.0,625
2025-05-18 21:16:00,32.5,14.5,18.0,626
2025-05-18 21:16:00,30.1,14.6,15.5,621
2025-05-18 21:16:00,31.8,14.8,17.0,624
2025-05-18 21:16:00,30.8,14.9,15.9,622
2025-05-18 21:16:00,28.2,15.0,13.2,617
2025-05-18 21:16:00,28.9,15.2,13.8,618
2025-05-18 21:16:00,28.3,15.3,13.0,617
2025-05-18 21:16:00,26.9,15.5,11.4,614
2025-05-18 21:16:00,26.4,15.6,10.7,613
2025-05-18 21:16:00,27.6,15.8,11.9,616
2025-05-18 21:16:00,27.7,15.9,11.9,616
2025-05-18 21:16:00,25.9,16.0,9.9,612
2025-05-18 21:16:00,28.0,16.1,11.8,616
2025-05-18 21:16:00,28.2,16.3,11.9,617
2025-05-18 21:17:00,26.6,16.4,10.2,613
2025-05-18 21:17:00,28.4,16.6,11.7,617
2025-05-18 21:17:00,28.5,16.7,11.8,617
2025-05-18 21:17:00,27.9,16.9,10.9,616
2025-05-18 21:17:00,27.4,17.1,10.3,615
2025-05-18 21:17:00,29.2,17.2,12.0,619
2025-05-18 21:17:00,29.7,17.4,12.4,620
2025-05-18 21:17:00,27.7,17.6,10.1,616
2025-05-18 21:17:00,29.7,17.7,12.0,620
2025-05-18 21:17:00,29.3,17.8,11.5,619
2025-05-18 21:17:00,27.9,18.0,9.9,616
2025-05-18 21:17:00,27.6,18.1,9.5,615
2025-05-18 21:17:00,28.4,18.2,10.2,617
2025-05-18 21:17:00,28.3,18.4,9.9,617
2025-05-18 21:17:00,26.1,18.5,7.6,612
2025-05-18 21:17:00,27.8,18.6,9.2,616
2025-05-18 21:17:00,27.8,18.6,9.2,616
2025-05-18 21:17:00,25.7,18.6,7.1,612
2025-05-18 21:17:00,28.3,18.6,9.6,617
2025-05-18 21:17:00,29.6,18.4,11.2,620
2025-05-18 21:17:00,29.2,18.1,11.1,619
2025-05-18 21:17:00,30.8,18.3,12.4,622
2025-05-18 21:17:00,32.2,18.7,13.5,625
2025-05-18 21:17:00,31.9,19.0,12.9,624
2025-05-18 21:17:00,31.9,19.3,12.6,624
2025-05-18 21:17:00,33.5,19.6,13.9,628
2025-05-18 21:17:00,33.0,19.7,13.2,626
2025-05-18 21:17:00,32.3,19.9,12.4,625
2025-05-18 21:17:00,34.0,20.0,14.0,629
2025-05-18 21:17:00,33.3,20.2,13.2,627
2025-05-18 21:17:00,32.5,20.6,12.0,626
2025-05-18 21:17:00,34.0,20.8,13.2,629
2025-05-18 21:17:00,33.9,21.1,12.9,628
2025-05-18 21:17:00,32.3,21.2,11.1,625
2025-05-18 21:17:00,34.2,21.4,12.8,629
2025-05-18 21:17:00,34.6,21.5,13.1,630
2025-05-18 21:17:00,32.5,21.6,11.0,626
2025-05-18 21:17:00,34.5,21.7,12.8,630
2025-05-18 21:17:00,34.9,21.7,13.1,630
2025-05-18 21:17:00,32.6,21.9,10.7,626
2025-05-18 21:17:00,34.8,22.1,12.7,630
